"participant" "outcome" "rt" "affect"
"449" 3 -2 1.61819999992847 11
"450" 3 1 1.296 73
"451" 3 -2 1.72739999997616 1
"452" 3 -2 2.30689999997616 9
"453" 3 -1 2.85770000004768 7
"454" 3 2 1.5385 100
"455" 3 -1 1.48189999997616 5
"456" 3 1 1.253 92
"457" 3 2 2.73620000004768 96
"458" 3 -1 1.62369999992847 20
"459" 3 2 1.33970000004768 98
"460" 3 -1 1.85270000004768 17
"461" 3 -2 2.04389999997616 53
"462" 3 1 2.08839999997616 98
"463" 3 2 1.6865 99
"464" 3 -2 2.20430000007153 16
"465" 3 1 2.05629999995232 97
"466" 3 2 1.92760000002384 99
"467" 3 -2 2.047 18
"468" 3 -1 1.82780000007153 4
"469" 3 2 2.11609999990463 95
"470" 3 1 1.5385 96
"471" 3 -1 3.57319999992847 33
"472" 3 1 1.15979999995232 97
"473" 3 2 1.53010000002384 98
"474" 3 -1 2.32389999997616 5
"475" 3 1 1.35529999995232 80
"476" 3 -1 1.50769999992847 14
"477" 3 2 1.41939999997616 86
"478" 3 -2 2.17970000004768 1
"479" 3 -1 1.89460000002384 3
"480" 3 -2 1.70739999997616 3
"481" 3 -2 2.57609999990463 2
"482" 3 1 1.15790000009537 96
"483" 3 -1 1.68179999995232 11
"484" 3 1 1.71289999997616 77
"485" 3 2 1.2325 100
"486" 3 -2 1.82339999997616 2
"487" 3 2 1.39230000007153 100
"488" 3 -1 2.18429999995232 5
"489" 3 -1 1.83360000002384 3
"490" 3 2 1.59260000002384 99
"491" 3 -2 1.96460000002384 4
"492" 3 1 1.45880000007153 98
"493" 3 -2 1.8875 3
"494" 3 -1 1.59169999992847 1
"495" 3 2 1.2885 98
"496" 3 -1 2.28389999997616 7
"497" 3 -2 2.1155 4
"498" 3 2 1.33369999992847 97
"499" 3 1 1.37560000002384 90
"500" 3 -2 1.40530000007153 11
"501" 3 -2 1.50419999992847 3
"502" 3 -1 1.53020000004768 8
"503" 3 -2 1.82510000002384 1
"504" 3 1 1.45039999997616 98
"505" 3 1 1.07380000007153 93
"506" 3 -1 1.53020000004768 6
"507" 3 2 1.41319999992847 99
"508" 3 2 1.25580000007153 99
"509" 3 -1 1.47770000004768 7
"510" 3 2 2.79460000002384 96
"511" 3 -2 1.54779999995232 1
"512" 3 1 1.101 96
"513" 3 1 1.15589999997616 98
"514" 3 1 0.985600000023842 86
"515" 3 1 1.25360000002384 91
"516" 3 -2 1.54439999997616 2
"517" 3 2 1.66260000002384 96
"518" 3 2 1.32270000004768 99
"519" 3 -2 1.58560000002384 3
"520" 3 1 1.88979999995232 85
"521" 3 2 1.64930000007153 95
"522" 3 1 1.7545 92
"523" 3 -2 2.163 1
"524" 3 1 1.42329999995232 88
"525" 3 -2 2.5005 3
"526" 3 2 1.37510000002384 89
"527" 3 2 1.51690000009537 93
"528" 3 -2 1.2185 2
"529" 3 -1 1.2355 5
"530" 3 1 1.62370000004768 84
"531" 3 2 1.24739999997616 99
"532" 3 -1 1.91230000007153 9
"533" 3 -1 1.50669999992847 5
"534" 3 -1 1.3635 6
"535" 3 1 1.75139999997616 86
"536" 3 -2 1.30839999997616 5
"537" 3 -2 2.6485 1
"538" 3 2 1.13839999997616 98
"539" 3 1 1.4725 83
"540" 3 -2 1.865 1
"541" 3 -1 1.73839999997616 5
"542" 3 -1 3.70879999995232 48
"543" 3 2 1.76280000007153 97
"544" 3 -2 1.571 7
"545" 3 2 1.41559999990463 90
"546" 3 2 1.44789999997616 97
"547" 3 -2 2.51770000004768 8
"548" 3 -1 1.93839999997616 2
"549" 3 2 1.53169999992847 96
"550" 3 -1 2.03679999995232 3
